2023-10-26T10:05:09.284Z    +82ms [debug] Config loaded {"version":"2.28.0","cdkVersion":"2.95.1","constructsVersion":"10.2.69","config":{"name":"fio-portfolio","region":"us-east-1","stage":"kryptodev","ssmPrefix":"/sst/fio-portfolio/kryptodev/"},"metafile":{"inputs":{"sst.config.ts":{"bytes":217,"imports":[{"path":"sst","kind":"import-statement","external":true},{"path":"sst/constructs","kind":"import-statement","external":true}],"format":"esm"}},"outputs":{".sst.config.1698314709212.mjs":{"imports":[],"exports":["default"],"entryPoint":"sst.config.ts","inputs":{"sst.config.ts":{"bytesInOutput":128}},"bytes":310}}},"paths":{"config":"/Users/kryptodev/Documents/Projects/fio_portfolio/sst.config.ts","root":"/Users/kryptodev/Documents/Projects/fio_portfolio","out":"/Users/kryptodev/Documents/Projects/fio_portfolio/.sst","artifacts":"/Users/kryptodev/Documents/Projects/fio_portfolio/.sst/artifacts"}}
2023-10-26T10:05:11.090Z  +1806ms [debug] Using AWS profile 
2023-10-26T10:05:11.115Z    +25ms [debug] Created AWS client IoTClient
2023-10-26T10:05:11.115Z     +0ms [debug] Getting IoT endpoint
2023-10-26T10:05:11.135Z    +20ms [debug] Synthesizing stacks...
2023-10-26T10:05:11.140Z     +5ms [debug] Created AWS client STSClient
2023-10-26T10:05:11.848Z   +708ms [debug] Using IoT endpoint: ad7xevymo3ug3-ats.iot.us-east-1.amazonaws.com
2023-10-26T10:05:11.848Z     +0ms [debug] Initializing bootstrap context
2023-10-26T10:05:11.850Z     +2ms [debug] Created AWS client CloudFormationClient
2023-10-26T10:05:11.936Z    +86ms [debug] Using identity Account: 632046163478 User: AIDAZGKHDCYLB6YRO73XS
2023-10-26T10:05:11.941Z     +5ms [debug] Generating types in /Users/kryptodev/Documents/Projects/fio_portfolio/.sst/types
2023-10-26T10:05:12.028Z    +87ms [debug] Running 1 deferred tasks with concurrency: 7
2023-10-26T10:05:13.104Z  +1076ms [debug] Loaded bootstrap status
2023-10-26T10:05:13.104Z     +0ms [debug] Bootstrap context initialized {"status":"ready","version":"7.2","bucket":"sstbootstrap-useast124d14e4b-x1jdj4fsuqph"}
2023-10-26T10:05:13.105Z     +1ms [debug] Created AWS client S3Client
2023-10-26T10:05:13.179Z    +74ms [debug] 
2023-10-26T10:05:13.179Z     +0ms [debug] Loading v2 AWS SDK
